,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.42,19.23,51.01,95,58,5.91,ZA,1602985579
1,pisco,-13.7,-76.22,62.01,87,40,13.87,PE,1602985579
2,butaritari,3.07,172.79,82.51,77,23,20.36,KI,1602985580
3,tasiilaq,65.61,-37.64,46.4,42,6,14.99,GL,1602985580
4,severnyy-kospashskiy,59.09,57.8,30.0,92,100,1.99,RU,1602985580
5,saint-philippe,-21.36,55.77,68.0,68,38,3.36,RE,1602985580
6,albany,42.6,-73.97,41.0,66,0,3.36,US,1602985452
7,hobyo,5.35,48.53,79.32,78,20,17.2,SO,1602985580
8,punta arenas,-53.15,-70.92,42.8,93,90,3.36,CL,1602985580
9,jamestown,42.1,-79.24,45.0,45,1,5.82,US,1602985581
10,busselton,-33.65,115.33,73.0,38,0,8.05,AU,1602985581
11,sorland,67.67,12.69,43.43,63,75,27.65,NO,1602985581
12,chakwal,32.93,72.86,57.2,62,0,1.79,PK,1602985581
13,mataura,-46.19,168.86,54.0,65,74,8.99,NZ,1602985581
14,dingle,11.0,122.67,85.86,73,50,6.35,PH,1602985581
15,puerto ayora,-0.74,-90.35,71.01,85,92,5.99,EC,1602985581
16,mahebourg,-20.41,57.7,66.2,88,20,4.7,MU,1602985582
17,seymchan,62.88,152.43,30.27,79,49,10.4,RU,1602985582
18,corinto,37.94,22.96,68.0,56,1,4.7,GR,1602985582
19,dubrovnik,42.65,18.09,53.6,87,75,3.36,HR,1602985582
20,amalapuram,16.58,82.02,80.6,83,40,4.7,IN,1602985582
21,lata,40.16,-8.33,50.0,92,46,3.29,PT,1602985583
22,kapaa,22.08,-159.32,78.8,88,75,8.05,US,1602985583
23,dikson,73.51,80.55,17.35,93,2,23.87,RU,1602985583
24,bela,25.93,81.98,80.38,46,0,0.49,IN,1602985583
25,les cayes,18.2,-73.75,80.04,80,5,3.87,HT,1602985583
26,mitsamiouli,-11.38,43.28,78.49,75,4,3.53,KM,1602985583
27,ushuaia,-54.8,-68.3,41.0,86,90,4.7,AR,1602985583
28,sangar,63.92,127.47,19.17,93,100,6.15,RU,1602985583
29,port alfred,-33.59,26.89,62.87,86,100,15.79,ZA,1602985584
30,avarua,-21.21,-159.78,77.0,69,91,17.22,CK,1602985584
31,yanam,16.73,82.22,80.6,83,40,4.7,IN,1602985584
32,sitka,57.05,-135.33,44.6,48,75,16.11,US,1602985431
33,port-gentil,-0.72,8.78,77.74,86,100,9.75,GA,1602985584
34,bethel,41.37,-73.41,42.01,86,1,3.36,US,1602985584
35,namatanai,-3.67,152.43,80.76,80,100,5.57,PG,1602985585
36,sao domingos,-13.4,-46.32,84.7,32,80,12.37,BR,1602985585
37,mount gambier,-37.83,140.77,55.4,66,90,10.29,AU,1602985585
38,hashtrud,37.48,47.05,48.33,48,0,1.19,IR,1602985585
39,georgetown,5.41,100.34,78.8,88,20,4.7,MY,1602985576
40,rikitea,-23.12,-134.97,74.62,80,100,18.75,PF,1602985585
41,victoria,22.29,114.16,77.0,68,35,3.0,HK,1602985291
42,mlonggo,-6.53,110.7,82.4,69,20,3.36,ID,1602985585
43,luderitz,-26.65,15.16,64.99,42,0,15.97,NA,1602985586
44,porbandar,21.64,69.61,82.44,81,46,13.31,IN,1602985586
45,nikolskoye,59.7,30.79,36.0,80,75,8.95,RU,1602985586
46,khatanga,71.97,102.5,5.29,90,24,8.39,RU,1602985586
47,santiago del estero,-27.8,-64.26,82.58,52,0,11.52,AR,1602985586
48,karratha,-20.74,116.85,79.63,42,1,14.18,AU,1602985586
49,ancud,-41.87,-73.82,51.01,93,90,11.41,CL,1602985586
50,barrow,71.29,-156.79,21.2,73,1,12.75,US,1602985587
51,bluff,-46.6,168.33,54.0,65,71,8.99,NZ,1602985587
52,cap malheureux,-19.98,57.61,69.01,82,23,5.01,MU,1602985587
53,pierre,44.37,-100.35,39.99,51,90,8.05,US,1602985587
54,clyde river,70.47,-68.59,37.4,74,90,29.97,CA,1602985587
55,beloha,-25.17,45.05,64.53,83,13,14.32,MG,1602985587
56,mackay,-21.15,149.2,81.0,54,0,11.41,AU,1602985587
57,east london,-33.02,27.91,64.78,81,100,12.39,ZA,1602985588
58,fojnica,43.96,17.9,42.8,100,40,2.24,BA,1602985588
59,vaini,-21.2,-175.2,77.0,83,40,17.22,TO,1602985588
60,touba,8.28,-7.68,71.15,92,100,1.3,CI,1602985588
61,lavrentiya,65.58,-171.0,38.17,87,100,3.13,RU,1602985588
62,bredasdorp,-34.53,20.04,53.6,93,100,4.7,ZA,1602985588
63,iracoubo,5.48,-53.2,81.68,80,49,11.5,GF,1602985589
