,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pathein,16.78,94.73,81.14,87,100,9.24,MM,1602907431
1,ushuaia,-54.8,-68.3,41.0,94,20,19.46,AR,1602907431
2,cabo san lucas,22.89,-109.91,82.99,79,0,4.43,MX,1602907317
3,kapaa,22.08,-159.32,80.6,78,40,8.05,US,1602907432
4,mataura,-46.19,168.86,57.0,59,76,1.99,NZ,1602907255
5,port augusta,-32.5,137.77,64.0,72,40,19.46,AU,1602907432
6,nanortalik,60.14,-45.24,40.48,77,100,10.92,GL,1602907432
7,karratha,-20.74,116.85,86.13,32,0,18.81,AU,1602907432
8,puerto ayora,-0.74,-90.35,70.0,92,96,4.0,EC,1602907432
9,east london,-33.02,27.91,62.6,88,1,8.05,ZA,1602907294
10,ponta do sol,32.67,-17.1,64.4,77,20,5.82,PT,1602907433
11,avarua,-21.21,-159.78,75.2,73,88,11.41,CK,1602907433
12,dikson,73.51,80.55,17.13,95,4,15.19,RU,1602907433
13,novyy urengoy,66.08,76.63,31.59,99,100,7.47,RU,1602907433
14,hobart,-42.88,147.33,50.0,81,75,4.7,AU,1602907220
15,faanui,-16.48,-151.75,79.68,79,28,9.13,PF,1602907316
16,mattru,7.62,-11.83,73.0,97,85,2.21,SL,1602907433
17,tanda,26.55,82.65,87.17,54,0,2.3,IN,1602907433
18,chokurdakh,70.63,147.92,28.09,98,100,6.17,RU,1602907433
19,grand gaube,-20.01,57.66,75.0,73,1,4.0,MU,1602907324
20,yellowknife,62.46,-114.35,25.0,85,90,18.34,CA,1602907247
21,malangali,-8.57,34.85,62.71,77,42,8.08,TZ,1602907434
22,kahului,20.89,-156.47,87.8,55,40,6.93,US,1602907202
23,busselton,-33.65,115.33,70.0,49,0,1.99,AU,1602907434
24,kavaratti,10.57,72.64,82.4,78,20,6.93,IN,1602907434
25,punta arenas,-53.15,-70.92,37.4,86,75,6.93,CL,1602907434
26,sibolga,1.74,98.78,86.11,58,70,4.18,ID,1602907435
27,coihaique,-45.58,-72.07,48.2,76,24,4.7,CL,1602907435
28,radhanpur,23.83,71.6,90.45,54,19,12.3,IN,1602907435
29,yulara,-25.24,130.99,95.0,14,62,5.82,AU,1602907435
30,chuy,-33.7,-53.46,55.38,94,0,8.75,UY,1602907296
31,torbay,47.67,-52.73,48.2,100,90,3.65,CA,1602907435
32,ketchikan,55.34,-131.65,46.4,81,40,4.7,US,1602907435
33,novosheshminsk,55.07,51.23,39.67,70,92,16.26,RU,1602907435
34,cherskiy,68.75,161.3,27.7,98,93,3.4,RU,1602907435
35,pervomayskiy,53.25,40.29,37.67,86,13,5.86,RU,1602907436
36,vaini,-21.2,-175.2,75.2,94,90,13.87,TO,1602907436
37,new norfolk,-42.78,147.06,48.0,81,100,2.39,AU,1602907302
38,praia,14.92,-23.51,77.0,88,100,5.82,CV,1602907436
39,butaritari,3.07,172.79,82.15,75,19,13.6,KI,1602907287
40,invermere,50.52,-116.04,39.0,91,92,4.0,CA,1602907436
41,myskhako,44.67,37.74,59.0,87,20,8.95,RU,1602907436
42,jos,9.92,8.9,66.58,70,12,2.46,NG,1602907436
43,souillac,-20.52,57.52,71.6,88,40,5.82,MU,1602907437
44,turukhansk,65.82,87.98,28.45,98,100,16.96,RU,1602907437
45,port alfred,-33.59,26.89,63.01,78,31,6.82,ZA,1602907437
46,longyearbyen,78.22,15.64,26.6,58,90,9.17,SJ,1602907437
47,severo-kurilsk,50.68,156.12,43.79,66,85,25.66,RU,1602907437
48,den helder,52.96,4.76,48.99,87,90,5.82,NL,1602907437
49,ruteng,-8.61,120.47,75.54,71,80,1.14,ID,1602907437
50,fairbanks,64.84,-147.72,19.4,52,75,3.36,US,1602907208
51,barrow,71.29,-156.79,17.6,72,1,23.04,US,1602907191
52,aksu,41.12,80.26,57.7,33,0,0.94,CN,1602907438
53,alyangula,-13.85,136.42,89.6,52,75,10.29,AU,1602907438
54,hermanus,-34.42,19.23,59.0,96,57,1.99,ZA,1602907438
55,ust-nera,64.57,143.2,17.4,88,100,8.12,RU,1602907438
56,tuscaloosa,33.21,-87.57,48.2,81,1,6.46,US,1602907438
57,castro,-24.79,-50.01,52.14,89,57,9.89,BR,1602907377
58,ambovombe,-25.17,46.08,67.87,77,83,17.98,MG,1602907438
59,auki,-8.77,160.7,83.91,73,19,1.99,SB,1602907438
60,fortuna,40.6,-124.16,57.99,82,1,5.82,US,1602907438
61,kaitangata,-46.28,169.85,51.01,63,92,15.99,NZ,1602907439
62,tyulyachi,55.89,50.24,35.6,85,75,8.95,RU,1602907439
63,saint george,37.1,-113.58,69.8,10,1,4.7,US,1602907313
64,sao filipe,14.9,-24.5,79.95,81,100,2.48,CV,1602907439
65,jian,27.12,114.98,61.18,84,99,10.33,CN,1602907439
66,yanam,16.73,82.22,84.2,74,20,6.93,IN,1602907439
67,amapa,1.0,-52.0,71.44,82,0,3.27,BR,1602907439
68,marsh harbour,26.54,-77.06,81.14,80,100,9.8,BS,1602907439
69,esperance,-33.87,121.9,66.2,52,40,10.29,AU,1602907439
70,los llanos de aridane,28.66,-17.92,69.8,77,20,6.93,ES,1602907440
71,atar,20.52,-13.05,85.55,26,8,6.4,MR,1602907440
72,estelle,29.85,-90.11,66.99,77,1,5.82,US,1602907440
73,walvis bay,-22.96,14.51,57.0,93,45,8.05,NA,1602907440
74,bologoye,57.88,34.11,30.94,99,11,4.0,RU,1602907440
75,mlimba,-8.8,35.82,73.15,77,31,2.06,TZ,1602907440
76,nikolskoye,59.7,30.79,33.8,86,81,2.24,RU,1602907251
77,yamethin,20.43,96.15,76.95,88,96,3.85,MM,1602907440
78,rikitea,-23.12,-134.97,74.25,81,100,20.71,PF,1602907440
79,alboraya,39.5,-0.35,55.0,71,20,6.93,ES,1602907441
80,bukama,-9.2,25.85,70.95,72,5,3.29,CD,1602907441
81,bredasdorp,-34.53,20.04,57.2,93,70,4.7,ZA,1602907441
82,emba,48.83,58.14,52.66,43,36,13.02,KZ,1602907441
83,sorland,67.67,12.69,42.17,78,100,23.91,NO,1602907441
84,kedgwick,47.64,-67.34,47.55,97,100,4.16,CA,1602907441
85,wanxian,30.8,108.39,62.08,73,100,1.74,CN,1602907441
